file,#,organization-name,city-state,organization-type,position-held,from,to
"White House/Kushner, Jared",79,"55 Challenger, LLC","Florham Park, New Jersey",Limited Liability Company,Manager,8/2012,1/2017
"White House/Kushner, Jared",80,"Morgan Street Developers Joint Venture, LLC","New York, New York",Limited Liability Company,Manager,7/2014,1/2017
"White House/Kushner, Jared",81,80 Maid LLC,"New York, New York",Limited Liability Company,Manager,8/2014,1/2017
"White House/Kushner, Jared",82,NK 80 Maiden Holdings,"New York, New York",Limited Liability Company,Executive Committee,8/2014,1/2017
"White House/Kushner, Jared",83,Village KF 2 Associates LLC,"New York, New York",Limited Liability Company,President,12/2013,1/2017
"White House/Kushner, Jared",84,KCLW Acquisition Manager,"New York, New York",Limited Liability Company,Manager,1/2015,1/2017
"White House/Kushner, Jared",85,"RP/K Kent Avenue, LLC","New York, New York",Limited Liability Company,Executive Committee & Key Person,8/2014,1/2017
"White House/Kushner, Jared",86,BLS Investors LLC,"New York, New York",Limited Liability Company,President,4/2014,1/2017
"White House/Kushner, Jared",87,KF-BLS Member LLC,"New York, New York",Limited Liability Company,President & Secretary,4/2014,1/2017
"White House/Kushner, Jared",88,BLS Associates LLC,"New York, New York",Limited Liability Company,President,4/2014,1/2017
"White House/Kushner, Jared",89,KF-BLS Portfolio LLC,"New York, New York",Limited Liability Company,Manager & President,4/2014,1/2017
"White House/Kushner, Jared",90,K-BLS Portfolio LLC,"New York, New York",Limited Liability Company,Manager & President,4/2014,1/2017
"White House/Kushner, Jared",91,27 Monroe Place LLC,"New York, New York",Limited Liability Company,Key Person,4/2014,1/2017
"White House/Kushner, Jared",92,38 Monroe Place LLC,"New York, New York",Limited Liability Company,Manager,4/2014,1/2017
"White House/Kushner, Jared",93,100 Pierrepoint Street LLC,"New York, New York",Limited Liability Company,President,4/2014,1/2017
"White House/Kushner, Jared",94,18 Sydney Place LLC,"New York, New York",Limited Liability Company,Managing Member,9/2014,1/2017
"White House/Kushner, Jared",95,89 Hicks Street LLC,"New York, New York",Limited Liability Company,Manager,9/2014,1/2017
"White House/Kushner, Jared",96,144 Willow Street LLC,"New York, New York",Limited Liability Company,President & Secretary,9/2014,1/2017
"White House/Kushner, Jared",97,"The Landings, Inc.","Florham Park, New Jersey",Corporation,Executive Vice President & Authorized Signatory,2/2007,1/2017
"White House/Kushner, Jared",98,"Chatham Hill Holdings, LLC","New York, New York",Limited Liability Company,Key Person,10/2015,1/2017
"White House/Kushner, Jared",99,"Landings Chicago Holding, LLC","New York, New York",Limited Liability Company,Manager,12/2007,1/2017
"White House/Kushner, Jared",100,"Landings Chicago Member, LLC","New York, New York",Limited Liability Company,Manager,1/2008,1/2017
"White House/Kushner, Jared",101,"Landings Chicago Associates, LLC","New York, New York",Limited Liability Company,Manager,1/2008,1/2017
"White House/Kushner, Jared",102,"Wallkill Chicago Holding, LLC","New York, New York",Limited Liability Company,Executive Committee,12/2007,1/2017
"White House/Kushner, Jared",103,"Wallkill Chicago Member, LLC","New York, New York",Limited Liability Company,President,1/2008,1/2017
"White House/Kushner, Jared",104,"Wallkill Chicago Associates, LLC","New York, New York",Limited Liability Company,Manager,1/2008,1/2017
"White House/Kushner, Jared",105,"Elmwood Chicago Holding, LLC","New York, New York",Limited Liability Company,Executive Committee & Key Person,12/2007,1/2017
"White House/Kushner, Jared",106,"Elmwood Chicago Member, LLC","New York, New York",Limited Liability Company,President,1/2008,1/2017
"White House/Kushner, Jared",107,"Elmwood Chicago Associates, LLC","New York, New York",Limited Liability Company,President & Secretary,1/2008,1/2017
"White House/Kushner, Jared",108,"Oakwood Chicago Holding, LLC","New York, New York",Limited Liability Company,President,12/2007,1/2017
"White House/Kushner, Jared",109,"Oakwood Chicago Member, LLC","New York, New York",Limited Liability Company,Manager & President,1/2008,1/2017
"White House/Kushner, Jared",110,"Oakwood Chicago Associates, LLC","New York, New York",Limited Liability Company,Manager & President,1/2008,1/2017
"White House/Kushner, Jared",111,Fifth K Two LLC,"New York, New York",Limited Liability Company,Manager,12/2011,1/2017
"White House/Kushner, Jared",112,"95 Bauer Drive Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",113,"19-05 Nevins Toad Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",114,"15-00 Pollitt Drive Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",115,"17-01 Pollitt Drive Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",116,"19-00 Pollitt Drive Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",117,"40 Potash Road Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",118,"5 Thorton Road Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",119,"128 Bauer Drive Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",120,"125 Algonquin Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",121,"145 Algonquin Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",122,"156 Algonquin Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",123,"30 Leslie Associates, LLC","New York, New York",Limited Liability Company,Vice President & Secretary,5/2014,1/2017
"White House/Kushner, Jared",124,Colts Neck Building Corp.,"Florham Park, New Jersey",Corporation,Vice President & Secretary,2/2007,1/2017
"White House/Kushner, Jared",125,"340 Flatbush Lender, LLC","New York, New York",Limited Liability Company,President & Authorized Signatory,12/2015,1/2017
"White House/Kushner, Jared",126,54 Barrow Street Associates LLC,"New York, New York",Limited Liability Company,President & Vice President,12/2015,1/2017
"White House/Kushner, Jared",127,99 East 7th Street Realty LLC,"New York, New York",Limited Liability Company,President & Vice President,1/2015,1/2017
"White House/Kushner, Jared",128,120 MacDougal Street Realty LLC,"New York, New York",Limited Liability Company,President & Vice President,1/2015,1/2017
"White House/Kushner, Jared",129,156 Sullivan Street Realty LLC,"New York, New York",Limited Liability Company,President & Vice President,1/2015,1/2017
"White House/Kushner, Jared",130,267 East 10th Street Realty LLC,"New York, New York",Limited Liability Company,President & Vice President,1/2015,1/2017
"White House/Kushner, Jared",131,318 East 6th Street Realty LLC,"New York, New York",Limited Liability Company,President & Vice President,1/2015,1/2017
"White House/Kushner, Jared",132,318 East 11th Street Realty LLC,"New York, New York",Limited Liability Company,President & Vice President,1/2015,1/2017
"White House/Kushner, Jared",133,435 East 9th Street Realty LLC,"New York, New York",Limited Liability Company,President & Vice President,1/2015,1/2017
"White House/Kushner, Jared",134,Village JV 129 First Avenue LLC,"New York, New York",Limited Liability Company,President & Secretary,2/2015,1/2017
"White House/Kushner, Jared",135,Village JV 143 First Avenue LLC,"New York, New York",Limited Liability Company,Executive Vice President & Authorized Signatory,2/2015,1/2017
"White House/Kushner, Jared",136,Village JV 165 Avenue A LLC,"New York, New York",Limited Liability Company,Key Person,2/2015,1/2017
"White House/Kushner, Jared",137,Village JV 191-193 Avenue A LLC,"New York, New York",Limited Liability Company,Manager,2/2015,1/2017
"White House/Kushner, Jared",138,Village JV 201 East 2nd LLC,"New York, New York",Limited Liability Company,Special Member & Vice President,2/2015,1/2017
"White House/Kushner, Jared",139,Village JV 211 Avenue A LLC,"New York, New York",Limited Liability Company,Vice President & Secretary,2/2015,1/2017
"White House/Kushner, Jared",140,Village JV 338 East 11th LLC,"New York, New York",Limited Liability Company,Vice President & Secretary,2/2015,1/2017
"White House/Kushner, Jared",141,Village JV 435 East 12th LLC,"New York, New York",Limited Liability Company,Vice President & Secretary,2/2015,1/2017
"White House/Kushner, Jared",142,Village JV 500 East 11th LLC,"New York, New York",Limited Liability Company,Vice President & Secretary,2/2015,1/2017
"White House/Kushner, Jared",143,KCLW 3rd Street LLC,"New York, New York",Limited Liability Company,Manager,8/2014,1/2017
"White House/Kushner, Jared",144,175-225 Third Owner LLC,"New York, New York",Limited Liability Company,Officer,12/2014,1/2017
"White House/Kushner, Jared",145,KKC Managing Member LLC,"New York, New York",Limited Liability Company,Managing Member & President,5/2013,1/2017
"White House/Kushner, Jared",146,"44th Street Realty Associates, LLC","New York, New York",Limited Liability Company,Manager,12/2007,1/2017
"White House/Kushner, Jared",147,Kushner Village 3 SPE LLC,"New York, New York",Limited Liability Company,President,3/2013,1/2017
"White House/Kushner, Jared",148,Kushner Village 4 SPE LLC,"New York, New York",Limited Liability Company,President,3/2013,1/2017
"White House/Kushner, Jared",149,118-120 East Fourth Owner LLC,"New York, New York",Limited Liability Company,President,3/2013,1/2017
"White House/Kushner, Jared",150,195 East Fourth Owner LLC,"New York, New York",Limited Liability Company,President,3/2013,1/2017
"White House/Kushner, Jared",151,199-203 East Fourth Owner LLC,"New York, New York",Limited Liability Company,President,3/2013,1/2017
"White House/Kushner, Jared",152,315 East 10th Street LLC,"New York, New York",Limited Liability Company,President,3/2013,1/2017
"White House/Kushner, Jared",153,Kushner Village 329 East 9th LLC,"New York, New York",Limited Liability Company,President,11/2014,1/2017
"White House/Kushner, Jared",154,East 9th Manager LLC,"New York, New York",Limited Liability Company,President,11/2014,1/2017
"White House/Kushner, Jared",155,Kushner Village 325 East 10th LLC,"New York, New York",Limited Liability Company,President,3/2013,1/2017
"White House/Kushner, Jared",156,Lacey Township Building Corp.,"Florham Park, New Jersey",Corporation,Executive Vice President & Authorized Signatory,12/2007,1/2017
"White House/Kushner, Jared",157,"ST Leonia, LLC","New York, New York",Limited Liability Company,Manager,3/2016,1/2017
"White House/Kushner, Jared",158,Livingston Hills Building Corp.,"Florham Park, New Jersey",Corporation,Executive Vice President,2/2007,1/2017
"White House/Kushner, Jared",159,Middle River JV LLC,"New York, New York",Limited Liability Company,Principal,5/2014,1/2017
"White House/Kushner, Jared",160,Georgetown Village I Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",161,Georgetown Village II Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",162,Georgetown Village III Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",163,Georgetown Village IV Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",164,Bavarian Woods Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",165,Cedarwood Riverbend Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",166,Cedarwood Village Apartments I & II Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",167,Cedarwood Village Apartments III Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",168,Columbus Park Property Owner LLC,"New York, New York",Limited Liability Company,Special Member,8/2011,1/2017
"White House/Kushner, Jared",169,Coppertree Properties Owner LLC,"New York, New York",Limited Liability Company,Manager,11/2012,1/2017
"White House/Kushner, Jared",170,Hunters Ridge Property Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2013,1/2017
"White House/Kushner, Jared",171,Miracle Manor Property Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2013,1/2017
"White House/Kushner, Jared",172,Puck Midwest Partners 1 LLC,"New York, New York",Limited Liability Company,Manager,11/2012,1/2017
"White House/Kushner, Jared",173,Sunnydale Estates Property Owner LLC,"New York, New York",Limited Liability Company,Special Member,6/2013,1/2017
"White House/Kushner, Jared",174,Westminster Mgt GP Corp.,"Florham Park, New Jersey",Corporation,Executive Vice President & Authorized Signatory,6/2011,1/2017
"White House/Kushner, Jared",175,Milford Building Corp.,"Florham Park, New Jersey",Corporation,Executive Vice President & Authorized Signatory,2/2007,1/2017
"White House/Kushner, Jared",176,Eatontown Monmouth Mall LLC,"New York, New York",Limited Liability Company,Manager,8/2015,1/2017
"White House/Kushner, Jared",177,VM Kushner (Junior Mezz) LLC,"New York, New York",Limited Liability Company,Manager,8/2015,1/2017
"White House/Kushner, Jared",178,Eatontown Monmouth Mall (Junior Mezz) LLC,"New York, New York",Limited Liability Company,Manager,8/2015,1/2017
"White House/Kushner, Jared",179,Eatontown Monmouth Mall (Senior Mezz) LLC,"New York, New York",Limited Liability Company,Manager,8/2015,1/2017
"White House/Kushner, Jared",180,Eatontown Monmouth Mall Holdings LLC,"New York, New York",Limited Liability Company,Manager,8/2015,1/2017
"White House/Kushner, Jared",181,VM Kushner (Senior Mezz) LLC,"New York, New York",Limited Liability Company,Manager,8/2015,1/2017
"White House/Kushner, Jared",182,VM Kushner LLC,"New York, New York",Limited Liability Company,Manager,8/2015,1/2017
"White House/Kushner, Jared",183,"Landings NYT Owner, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",184,"Wallkill NYT Owner, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",185,"Oakwood NYT Owner, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",186,"Elmwood NYT Owner, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",187,"Landings NYT Mezz, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",188,"Wallkill NYT Mezz, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",189,"Oakwood NYT Mezz, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",190,"Elmwood NYT Mezz, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",191,"Landings NYT Holdings, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",192,"Wallkill NYT Holdings, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",193,"Oakwood NYT Holdings, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",194,"Elmwood NYT Holdings, LLC","New York, New York",Limited Liability Company,Manager,10/2015,1/2017
"White House/Kushner, Jared",195,"Landings NYT Principal, LLC","New York, New York",Limited Liability Company,Authorized Signatory,10/2015,1/2017
"White House/Kushner, Jared",196,"Wallkill NYT Principal, LLC","New York, New York",Limited Liability Company,Authorized Signatory,10/2015,1/2017
"White House/Kushner, Jared",197,"Oakwood NYT Principal, LLC","New York, New York",Limited Liability Company,Authorized Signatory,10/2015,1/2017
"White House/Kushner, Jared",198,"Elmwood NYT Principal, LLC","New York, New York",Limited Liability Company,Authorized Signatory,10/2015,1/2017
"White House/Kushner, Jared",199,Times Square Associates LLC,"New York, New York",Limited Liability Company,Managing Member,5/2015,1/2017
"White House/Kushner, Jared",200,Pier Village III JV LLC,"New York, New York",Limited Liability Company,Vice President,7/2015,1/2017
"White House/Kushner, Jared",201,Pier Village II Urban Renewal Company LLC,"New York, New York",Limited Liability Company,Springing Member,12/2014,1/2017
"White House/Kushner, Jared",202,Pinecrest Building Corp.,"Florham Park, New Jersey",Corporation,Vice President & Authorized Signatory,2/2007,1/2017
"White House/Kushner, Jared",203,"Powerhouse Associates, LLC","New York, New York",Limited Liability Company,Authorized Signatory,1/2016,1/2017
"White House/Kushner, Jared",204,"New Puck, LLC","New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",205,"New Puck Investors, LLC","New York, New York",Limited Liability Company,Special Member,6/2011,1/2017
"White House/Kushner, Jared",206,Riverhead Reeves Building Corp.,"Florham Park, New Jersey",Corporation,Executive Vice President & Authorized Signatory,2/2007,1/2017
"White House/Kushner, Jared",207,Riverhead Sound Building Corp.,"Florham Park, New Jersey",Corporation,Executive Vice President & Authorized Signatory,2/2007,1/2017
"White House/Kushner, Jared",208,Riverhead Associates LLC,"New York, New York",Limited Liability Company,Vice President & Authorized Signatory,2/2007,1/2017
"White House/Kushner, Jared",209,Rues Lane Building Corp.,"Florham Park, New Jersey",Corporation,Executive Vice President & Authorized Signatory,2/2007,1/2017
"White House/Kushner, Jared",210,"Maryland Apartment Holdings 10-Pack JV, LLC","New York, New York",Limited Liability Company,Executive Committee & Venture Coordinator,8/2012,1/2017
"White House/Kushner, Jared",211,"Kushner Maryland Associates, LLC","New York, New York",Limited Liability Company,Manager,7/2012,1/2017
"White House/Kushner, Jared",212,Stone Portfolio LLC,"New York, New York",Limited Liability Company,Vice President,2/2015,1/2017
"White House/Kushner, Jared",213,"KC3 - 101 MacDougal Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",214,"KC3 - 104 East 7th Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",215,"KC3 - 233 East 82nd Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",216,"KC3 - 234-238 East 33rd Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",217,"KC3 - 310 East 83rd Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",218,"KC3 - 319-321 East 78th Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",219,"KC3 - 325 East 83rd Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",220,"KC3 - 354-356 State Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",221,"KC3 - 410 East 64th Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",222,"KC3 - 438-440 East 13th Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",223,"KC3 - 504 East 88th Street, LLC","New York, New York",Limited Liability Company,Vice President,3/2015,1/2017
"White House/Kushner, Jared",224,"EV JV Partnership, L.P.","New York, New York",Limited Partnership,President,8/2013,1/2017
"White House/Kushner, Jared",225,EV JV GP LLC,"New York, New York",Limited Liability Company,President,8/2013,1/2017
"White House/Kushner, Jared",226,Village UK Venture LLC,"New York, New York",Limited Liability Company,President,8/2013,1/2017
"White House/Kushner, Jared",227,"EV Avenue A Property Owner, L.P.","New York, New York",Limited Partnership,President,8/2013,1/2017
"White House/Kushner, Jared",228,"EV 1st Avenue Property Owner, L.P.","New York, New York",Limited Partnership,President,8/2013,1/2017
"White House/Kushner, Jared",229,Village UK Kushner Member LLC,"New York, New York",Limited Liability Company,Manager & President,8/2013,1/2017
"White House/Kushner, Jared",230,Iroquois Properties Realty Corp.,"Florham Park, New Jersey",Corporation,President,2/2007,1/2017
"White House/Kushner, Jared",231,"Village KF 12-13 Associates, LLC","New York, New York",Limited Liability Company,Manager,8/2013,1/2017
"White House/Kushner, Jared",232,Village KF 504 East 12th LLC,"New York, New York",Limited Liability Company,President,8/2013,1/2017
"White House/Kushner, Jared",233,Village KF 516 East 13th LLC,"New York, New York",Limited Liability Company,President,8/2013,1/2017
"White House/Kushner, Jared",234,Warren at Bay Holdings LLC,"New York, New York",Limited Liability Company,KC Representative,1/2016,1/2017
"White House/Kushner, Jared",235,Astoria Portfolio Member LLC,"New York, New York",Limited Liability Company,Authorized Signatory,1/2015,1/2017
"White House/Kushner, Jared",236,Astoria 23-05 30th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,6/2016,1/2017
"White House/Kushner, Jared",237,Astoria 23-15 30th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,6/2016,1/2017
"White House/Kushner, Jared",238,Astoria 21-80 38th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,6/2016,1/2017
"White House/Kushner, Jared",239,Astoria 21-81 38th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,6/2016,1/2017
"White House/Kushner, Jared",240,Cadre Astoria 23-05 30th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,1/2015,1/2017
"White House/Kushner, Jared",241,Cadre Astoria 23-15 30th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,1/2015,1/2017
"White House/Kushner, Jared",242,Cadre Astoria 21-80 38th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,1/2015,1/2017
"White House/Kushner, Jared",243,Cadre Astoria 21-81 38th LLC,"New York, New York",Limited Liability Company,Authorized Signatory,1/2015,1/2017
"White House/Kushner, Jared",244,K Astoria I LLC,"New York, New York",Limited Liability Company,Authorized Signatory,1/2015,1/2017
"White House/Kushner, Jared",245,Leland Point GP LLC,"New York, New York",Limited Liability Company,Springing Member,6/2011,1/2017
"White House/Kushner, Jared",246,Leland Point Partners LP LLC,"New York, New York",Limited Liability Company,Springing Member,6/2011,1/2017
"White House/Kushner, Jared",247,Leland Point Partners GP LLC,"New York, New York",Limited Liability Company,Springing Member,6/2011,1/2017
"White House/Kushner, Jared",248,"200 East 62nd 25B, LLC","New York, New York",Limited Liability Company,Managing Member,12/2015,1/2017
"White House/Kushner, Jared",249,Florham Park Developers Corp.,"Florham Park, New Jersey",Corporation,Vice President & Authorized Signatory,6/2009,1/2017
"White House/Kushner, Jared",250,KKC Associates LLC,"New York, New York",Limited Liability Company,Tax Matters Manager,5/2013,1/2017
"White House/Kushner, Jared",251,Westminster Linden Realty Corp.,"Florham Park, New Jersey",Corporation,President,2/2007,1/2017
"White House/Kushner, Jared",252,"West End Building Associates, LLC","Florham Park, New Jersey",Limited Liability Company,President & Authorized Signatory,1/2009,1/2017
"White House/Kushner, Jared",253,New York Observer,"New York, New York",Limited Partnership,Publisher,7/2006,1/2017
"White House/Kushner, Jared",254,Kushner Companies LLC,"Florham Park, New Jersey",Limited Liability Company,Chief Executive Officer,10/2008,1/2017
"White House/Kushner, Jared",255,Kushner Family Foundation,"Mountainside, New Jersey",Non-Profit,Board Member,6/2010,1/2017
"White House/Kushner, Jared",256,Friends of IDF,"New York, New York",Non-Profit,Board Member,3/2014,1/2017
"White House/Kushner, Jared",257,Global Gateway Alliance,"New York, New York",Non-Profit,Board Member,1/2013,1/2017
"White House/Kushner, Jared",258,Megalith Capital Management,"New York, New York",Limited Liability Company,Board Member,10/2013,1/2017
"White House/Kushner, Jared",259,Partnership for New York City,"New York, New York",Non-Profit,Board Member,12/2014,8/2016
"White House/Kushner, Jared",260,Real Estate Board of New York (REBNY),"New York, New York",Trade Association,Board Member,6/2008,1/2017
"White House/Kushner, Jared",261,Thrive Capital Partners LLC,"New York, New York",Limited Liability Company,Board Member,5/2010,1/2017
"White House/Kushner, Jared",262,"Thrive Capital Partners II, LP","New York, New York",Limited Partnership,Investment Committee Member,8/2011,1/2017
"White House/Kushner, Jared",263,"Thrive Capital Partners III, LP","New York, New York",Limited Partnership,Investment Committee Member,8/2012,1/2017
"White House/Kushner, Jared",264,42Floors,"New York, New York",Corporation,Board Member,5/2012,1/2017
"White House/Kushner, Jared",265,"Quadro Partners, Inc. (d/b/a Cadre Partners)","New York, New York",Corporation,Board Member,5/2015,1/2017
"White House/Kushner, Jared",266,Honest Buildings,"New York, New York",Corporation,Board Member,11/2013,11/2015
"White House/Kushner, Jared",267,President-Elect's Transition Team,"Washington, District of Columbia",Presidential Transition,Member,11/2016,1/2017
"White House/Lansing, Gerrit",1,Revv LLC,"Washington, District of Columbia",LLC,Manager,12/2014,1/2017
"White House/Lansing, Gerrit",2,Greensview LLC,"Washington, District of Columbia",LLC,Owner,1/2015,Present
"White House/Lansing, Gerrit",3,Republican National Committee,"Washington, District of Columbia",Non-Profit,Chief Digital Officer,6/2015,1/2017
"White House/Liddell, Chris",1,Xero Limited,"Wellington, NZ, Outside U.S.",Corporation,Board Chairman,2/2014,1/2017
"White House/Liddell, Chris",2,Next Foundation,"Auckland, NZ, Outside U.S.",Non-Profit,Chairman,3/2014,1/2017
"White House/Liddell, Chris",3,Rotoroa Island Trustee Co Ltd,"Auckland, NZ, Outside U.S.",Non-Profit,Director,2/2008,1/2017
"White House/Liddell, Chris",4,Project Janszoon Trust Co Ltd,"Auckland, NZ, Outside U.S.",Non-Profit,Director,1/2012,1/2017
"White House/Liddell, Chris",5,Captain Cook Nominees Limited,"Auckland, NZ, Outside U.S.",Non-Profit,Director,5/1998,1/2017
"White House/Liddell, Chris",6,Hutton Wilson Nominees Limited,"Auckland, NZ, Outside U.S.",Corporation,Director,12/2005,1/2017
"White House/Liddell, Chris",7,Predator Free 2050 Limited,"Auckland, NZ, Outside U.S.",Non-Profit,Director,11/2016,1/2017
"White House/Liddell, Chris",8,Appy Entertainment GmbH (AGT JV related entity),"Zurich, Outside U.S.",Corporation,Director,11/2015,1/2017
"White House/Liddell, Chris",9,Heed LLC,"New York, New York",Corporation,Director,11/2015,1/2017
"White House/Liddell, Chris",10,WME Venture Partners,"New York, New York",Corporation,Director,9/2015,1/2017
"White House/Liddell, Chris",11,Collegiate School,"New York, New York",School,Trustee,8/2016,1/2017
"White House/Liddell, Chris",12,"IMG Worldwide, William Morris Endeavor Entertainment (WME)","New York, New York",Corporation,Chief Financial Officer,7/2014,1/2017
"White House/Liddell, Chris",13,Pure Advantage - New Zealand environmental group,"Auckland, New Zealand",Non-Profit,Trustee,11/2012,1/2017
"White House/Liddell, Chris",14,New Zealand Olympic Committe America Inc. - 501c3 fundraising entity,"Wilmington, Delaware",Non-Profit,Director,11/2013,1/2017
"White House/Lira, Matthew",1,Harvard University,"Cambridge, Massachusetts",University/Colle ge,"Fellow, HKS Institute of Politics",1/2015,5/2015
"White House/Lira, Matthew",2,Kevin McCarthy for Congress,"Bakersfield, California",Campaign Committee,Advisor,6/2015,3/2017
"White House/Lira, Matthew",3,Moonshot Strategies LLC,"Arlington, Virginia",Corporation,President,1/2013,3/2017
"White House/Locetta, Jennifer R",1,58th Presidential Inaugural Committee,"Washington, District of Columbia",Non-Profit,"Lead, Public Liaison Office",12/2016,Present
"White House/Locetta, Jennifer R",2,"Sole Strategies, LLC","Sarasota, Florida",Corporation,MGRM,4/2015,Present
"White House/Locetta, Jennifer R",3,"Sabal Strategies, LLC","Sarasota, Florida",Corporation,MGRM,10/2016,Present
"White House/Lotter, Marc E",1,City of Indianapolis,"Indianapolis, Indiana",Municipal Government,Communication s Director,11/2010,1/2015
"White House/Lotter, Marc E",2,State of Indiana - Board of Education,"Indianapolis, Indiana",State Government,Director of External Relations,2/2015,4/2016
"White House/Lotter, Marc E",3,Trump for America,"Washington, District of Columbia",Presidential Transition Team,Press Secretary to Vice President-elect,11/2016,1/2017
"White House/Lotter, Marc E",4,Greater Indianapolis Chamber of Commerce,"Indianapolis, Indiana",Non-Profit,Communication s Consultant,2/2015,4/2015
"White House/Lotter, Marc E",5,"Communications Products, Inc.","Fishers, Indiana",Corporation,Communication s Consultant,1/2015,1/2015
"White House/Lotter, Marc E",6,"Donald J. Trump for President, Inc.","New York, New York",Political Campaign,Press Secretary to VP Nominee,7/2016,11/2016
"White House/Lotter, Marc E",7,Mike Pence for Indiana,"Indianapolis, Indiana",Political Campaign,Deputy Campaign Manager,5/2016,7/2016
"White House/Makin, Sarah",1,Trump for America,"Washington, District of Columbia",Transition Team,"Director of Coalitions and Outreach, Vice- President Elect Pence",11/2016,1/2017
"White House/Makin, Sarah",2,Wise Public Affairs,"Arlington, Virginia",LLC,Vice President,8/2013,1/2016
"White House/Makin, Sarah",3,"Donald J. Trump for President, Inc.","New York, New York",Political Campaign,Director of Coalitions and Outreach,8/2016,11/2016
