file,part,#,endnote
"Senate-confirmed/DeVos, Elisabeth P",6,45.1.6.1,Provider of beef and poultry to food service industries and food retailers.
"Senate-confirmed/DeVos, Elisabeth P",6,45.1.7.1.1,Provider of beef and poultry to food service industries and food retailers.
"Senate-confirmed/DeVos, Elisabeth P",6,45.1.8.1,"Partners Group Client Access 8, LP Inc., owns an interest in VAT Group AG, a provider of vacuum valves to the semiconductor, flat panel display, and photovoltaic markets."
"Senate-confirmed/DeVos, Elisabeth P",6,45.1.9.1.1,"Provider of flexible packaging solutions to diverse and stable end-markets, including the food, industrial, healthcare, pet food, and retail industries."
"Senate-confirmed/DeVos, Elisabeth P",6,46.1,"Sun Life Financial is a financial services company providing financial planning, life insurance, health insurance, investments and more."
"Senate-confirmed/DeVos, Elisabeth P",6,48.1.1,"RCB Mainfloor, LLC is a restaurant in Grand Rapids, Michigan specializing in wine and food."
"Senate-confirmed/DeVos, Elisabeth P",6,49.1,"RCB Mainfloor, LLC is a restaurant in Grand Rapids, Michigan specializing in wine and food."
"Senate-confirmed/DeVos, Elisabeth P",6,50.1,(distillers and vintners)
"Senate-confirmed/DeVos, Elisabeth P",8,1,"Dick DeVos is a co-borrower on PNC Financial Services Group, Inc. debt of West Michigan Aviation Academy."
"Senate-confirmed/DeVos, Elisabeth P",8,2,This capital commitment was fully funded in 2016.
"Senate-confirmed/DeVos, Elisabeth P",8,4,This liability includes the year-end credit card balances of employees of Dick and Betsy DeVos.
"Senate-confirmed/Green, Mark Andrew",3,2,Deferred compensation plan consists of assets listed in Part 2 lines 5-10.
"Senate-confirmed/Green, Mark Andrew",3,3,This asset is listed in Part 2 line 20
"Senate-confirmed/Green, Mark Andrew",5,1,Left employment in April of 2016. She is currently not employed.
"Senate-confirmed/Green, Mark Andrew",6,3,A Wisconsin State Political Campaign Committee
"Senate-confirmed/Green, Mark Andrew",6,8,matured 1/17/17
"Senate-confirmed/Green, Mark Andrew",6,21.1,Farmland with Rental Income.  One (1)  dependent child is a beneficiary of the income.
"Senate-confirmed/Green, Mark Andrew",6,22,Account cash is derived from rental income from Family Trust (line 21). Asset disbursed to beneficiaries at the end of each calendar year.
"Senate-confirmed/Hargan, Eric D",2,3.1,Entire balance transferred to the State Street S&P 500 Fund Class N (SVSPX) in March 2017.
"Senate-confirmed/Hargan, Eric D",2,4,"The Capital Account consists of shares in Greenberg Traurig, LLC."
"Senate-confirmed/Hargan, Eric D",3,1,"The payment due is for my work in 2016, is a fixed amount, and should be deposited in April 2017."
"Senate-confirmed/Hassett, Kevin A",1,9,"Note: This position includes a $1500 honorarium for attending meetings, but I was conflicted and did not attend the first meeting, and thus, was not paid."
"Senate-confirmed/Hassett, Kevin A",2,17,"This was originally an insurance policy related to my employment at the Federal Reserve, but I continued to pay the premiums after I departed."
"Senate-confirmed/Hassett, Kevin A",2,18,This equity was received from Prudential because of the whole life policy
"Senate-confirmed/Hassett, Kevin A",2,38,Equally shared with coauthor James K. Glassman
"Senate-confirmed/Lighthizer, Robert E",1,1,"Retiring January 31, 2017"
"Senate-confirmed/Long, William B",2,2,"Upon termination of employment with Hagerty Consulting Inc, I will not receive a severance or termination payment from the company."
"Senate-confirmed/Long, William B",4,16,Ravinia Festival is a concert venue in IL.
"Senate-confirmed/Mattis, James N",1,4,"Subsequent to initially completing this report, I resigned from my position with this entity."
"Senate-confirmed/Mattis, James N",1,5,"Subsequent to initially completing this report, I resigned from my position with this entity."
"Senate-confirmed/Mattis, James N",1,6,"Subsequent to initially completing this report, I resigned from my position with this entity."
"Senate-confirmed/Mattis, James N",1,7,"Subsequent to initially completing this report, I resigned from my position with this entity."
"Senate-confirmed/Mattis, James N",1,10,Dates estimated.
"Senate-confirmed/Mattis, James N",2,18.1,"Reflects payments through December 31,2016"
"Senate-confirmed/Mattis, James N",2,20,Book publishing arrangement. I will not work on the book or perform any services under the contract during my Federal service. The book will be published after my Federal service ends.
"Senate-confirmed/Mnuchin, Steven T",1,44,The start date listed is an approximation.
"Senate-confirmed/Mnuchin, Steven T",1,45,This entity is an Anguilla company treated as a partnership for US tax purposes with its principal office located in NY.
"Senate-confirmed/Mnuchin, Steven T",2,8,This amount includes wages attributable to filer's employment at OneWest Bank N.A. prior to the merger on 7/31/15. The compensation report for 2015 (W-2) does not segregate compensation between the two companies.
"Senate-confirmed/Mnuchin, Steven T",2,9,This amount includes bonus and incentive payments attributable to filer's employment at OneWest Bank N.A. prior to the merger on 7/31/15. The compensation report for 2015 (W-2) does not segregate compensation between the two companies.
"Senate-confirmed/Mnuchin, Steven T",2,14,Filer owns Stormchaser Partners LLC thru two separate trusts.  The interest owned by the Steven T. Mnuchin Revocable Trust is listed as Asset 14 and the interest owned by the Steven Mnuchin Dynasty Trust I is listed as Asset 15.
"Senate-confirmed/Mnuchin, Steven T",6,5,"Tulsa, OK - Oil and gas exploration and production company."
"Senate-confirmed/Mnuchin, Steven T",6,17.1.3.2,This financing agreement terminated in 2015.
"Senate-confirmed/Mnuchin, Steven T",6,20,"This bond represents a debt obligation of a golf club on Long Island, NY."
"Senate-confirmed/Mnuchin, Steven T",6,27.4,"This asset is a holdback amount from the merger of IMB Holdings LLC with CIT Group, Inc.  Under the provisions of the merger, approximately $6 million due to the Revocable Trust is being reserved by CIT Group, Inc. in order to cover certain contingent liabilities of IMB Holdings, LLC.  Any excess is expected to be distributed to the Revocable Trust between August 2018 and August 2020."
"Senate-confirmed/Mnuchin, Steven T",6,27.24.7.2,The restricted cash account holds a portion of the entity's carried interest until certain thresholds are met.
"Senate-confirmed/Mnuchin, Steven T",6,27.24.7.4,The underlying assets of Dune Real Estate Parallel Fund II LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 27.24.7.1.1 - 27.24.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,27.24.7.5,The underlying assets of Dune Parallel AIV II LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 27.24.7.1.1 - 27.24.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,27.24.7.6,The underlying assets of DREF II NA Fund LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 27.24.7.1.1 - 27.24.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,27.24.7.7,The underlying assets of DREF II International Fund LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 27.24.7.1.1 - 27.24.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,27.24.8,"Los Angeles, CA - online gaming company"
"Senate-confirmed/Mnuchin, Steven T",6,27.24.9,Underlying assets are not ascertainable.
"Senate-confirmed/Mnuchin, Steven T",6,27.24.10.1.1.1.1,"This agreement involves an interest in the rights to 52 existing and 23 future films by Warner Bros (“WB”).   RatPac-Dune LLC (“RPD”) is a passive investor in each film and receives an income stream with respect to each film.  RPD invests its share of the production costs and in return  RPD receives the ""ultimates"" for each film 6 weeks after the film is released.  The ultimates are WB's estimate of receipts and distribution costs (including residuals to the unions and participations to producers, actors, directors, etc. that are involved in the film).  RPD has a copyright interest in the individual films."
"Senate-confirmed/Mnuchin, Steven T",6,27.24.11,"Los Angeles, CA - Entertainment company."
"Senate-confirmed/Mnuchin, Steven T",6,27.24.14,"Los Angeles, CA - Holds and operates a small airplane used solely by the filer for both business and personal reasons."
"Senate-confirmed/Mnuchin, Steven T",6,33.2.1.1.1,This financing agreement terminated in 2015.
"Senate-confirmed/Mnuchin, Steven T",6,33.4.2,The restricted cash account holds a portion of the entity's carried interest until certain thresholds are met.
"Senate-confirmed/Mnuchin, Steven T",6,33.4.4,The underlying assets of Dune Real Estate Parallel Fund II LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 33.4.1.1 - 33.4.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,33.4.5,The underlying assets of Dune Parallel AIV II LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 33.4.1.1 - 33.4.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,33.4.6,The underlying assets of DREF II NA Fund LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 33.4.1.1 - 33.4.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,33.4.7,The underlying assets of DREF II International Fund LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 33.4.1.1 - 33.4.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,33.5,"Los Angeles, CA - Entertainment company."
"Senate-confirmed/Mnuchin, Steven T",6,33.7,The source of this income is unknown.
"Senate-confirmed/Mnuchin, Steven T",6,34.5,"The manager does not release information regarding the underlying investments of this asset, except in limited circumstances."
"Senate-confirmed/Mnuchin, Steven T",6,34.6,"The manager does not release information regarding the underlying investments of this asset, except in limited circumstances."
"Senate-confirmed/Mnuchin, Steven T",6,35.5,"This asset is a holdback amount from the merger of IMB Holdings LLC with CIT Group, Inc.  Under the provisions of the merger, approximately $2 million due to the Dynasty Trust I is being reserved by CIT Group, Inc. in order to cover certain contingent liabilities of IMB Holdings, LLC.  Any excess is expected to be distributed to the Dynasty Trust I between August 2018 and August 2020."
"Senate-confirmed/Mnuchin, Steven T",6,35.7.5.1.3.2,This financing agreement terminated in 2015.
"Senate-confirmed/Mnuchin, Steven T",6,35.7.7.2,The restricted cash account holds a portion of the entity's carried interest until certain thresholds are met.
"Senate-confirmed/Mnuchin, Steven T",6,35.7.7.4,The underlying assets of Dune Real Estate Parallel Fund II LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 35.7.7.1.1 - 35.7.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,35.7.7.5,The underlying assets of Dune Parallel AIV II LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 35.7.7.1.1 - 35.7.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,35.7.7.6,The underlying assets of DREF II NA Fund LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 35.7.7.1.1 - 35.7.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,35.7.7.7,The underlying assets of DREF II International Fund LP are identical to the underlying assets of Dune Real Estate Fund II LP reported as assets 35.7.7.1.1 - 35.7.7.1.15.
"Senate-confirmed/Mnuchin, Steven T",6,35.7.8,"Los Angeles, CA - online gaming company"
"Senate-confirmed/Mnuchin, Steven T",6,35.7.9,Underlying assets are not ascertainable.
"Senate-confirmed/Mnuchin, Steven T",6,35.7.10.1.1.1.1,"This agreement involves an interest in the rights to 52 existing and 23 future films by Warner Bros (“WB”).   RatPac-Dune LLC (“RPD”) is a passive investor in each film and receives an income stream with respect to each film.  RPD invests its share of the production costs and in return  RPD receives the ""ultimates"" for each film 6 weeks after the film is released.  The ultimates are WB's estimate of receipts and distribution costs (including residuals to the unions and participations to producers, actors, directors, etc. that are involved in the film).  RPD has a copyright interest in the individual films."
"Senate-confirmed/Mnuchin, Steven T",6,35.7.11,"Los Angeles, CA - Entertainment company."
"Senate-confirmed/Mnuchin, Steven T",6,35.7.15,"Los Angeles, CA - Holds and operates a small airplane used solely by the filer for both business and personal reasons."
"Senate-confirmed/Mnuchin, Steven T",6,35.9,The source of this income is unknown.
"Senate-confirmed/Mulvaney, John M",1,1,This is the parent/holding company for my real estate investments.  It has no employees.  I am the sole owner.
"Senate-confirmed/Mulvaney, John M",2,13,This LLC has a minority ownership interest in Lancaster-Collins LLC which owns a parcel which is in foreclosure with mortgages greater than value.
"Senate-confirmed/Mulvaney, John M",2,15,Minority interest in LLC that owned a shopping center sold in September 2016.
"Senate-confirmed/Mulvaney, John M",2,16,"I have a 3% ownership interest in this real estate land holding company. The entity owns unimproved property in and around the Charlotte, NC metro area."
"Senate-confirmed/Mulvaney, John M",2,17,"33.3% ownership interest in tree farming and land holding company. It owns a property on Riverside Road in Lancaster, South Carolina, and another in Van Wyck, South Carolina.  Also owns life insurance policy referenced in Part 2, line 17.1."
"Senate-confirmed/Mulvaney, John M",2,18,"33.3% ownership interest in real estate investment company in Indian Land, South Carolina."
"Senate-confirmed/Mulvaney, John M",2,20,Interest accrues and is not paid.
"Senate-confirmed/Mulvaney, John M",5,5,"The entity is also the beneficiary of a Qualified Personal Residence Trust which owns residential real estate in Key West, Florida, referenced in Part 5, line 6."
"Senate-confirmed/Mulvaney, John M",5,6,Trust will expire in February 2017 and Key West LLC is beneficiary.
"Senate-confirmed/Mulvaney, John M",6,7,Education trusts for three children.
"Senate-confirmed/Mulvaney, John M",6,8,Education trusts for three children.
"Senate-confirmed/Mulvaney, John M",6,9,529 College Savings Plan
"Senate-confirmed/Mulvaney, John M",6,10,Education trusts for three children.
"Senate-confirmed/Mulvaney, John M",6,11,Education trusts for three children.
"Senate-confirmed/Mulvaney, John M",8,1,"This loan pertains to my 2008 campaign for SC Senate.  It is secured by a certificate of deposit in approximately the same amount ($100,000) held by the same bank."
"Senate-confirmed/Mulvaney, John M",8,3,"This loan is to Lancaster-Collins Road LLC, which is owned partly by MP/Collins Road LLC, as shown in Part 2, line 13.  Nominee individually owns MP/Collins Road LLC.  Nominee personally guaranteed this loan."
"Senate-confirmed/Mulvaney, John M",8,4,This loan was made to Indian Land Ventures LLC.  Nominee personally guaranteed this loan.
"Senate-confirmed/Patenaude, Pamela H",6,8,Cash only held in US Bank account- no underlying investments. I have a 1/6 interest in the trust. Current value of the trust is reported.
"Senate-confirmed/Patenaude, Pamela H",6,9,I have a 1/6 interest in this dock. The value of the dock is reported.
"Senate-confirmed/Perdue, George E",1,7,Perdue Properties LLC is an empty company which has never held any assets nor engaged in any business.
"Senate-confirmed/Perdue, George E",1,8,Perdue Real Estate Holdings LLLP is an empty company which has never held assets nor engaged in any business.
"Senate-confirmed/Perdue, George E",6,6,"This investment, the 100% EQUITY option, tracks the TIAA-CREF Equity Index Fund Institutional Class (TIEIX)"
"Senate-confirmed/Perdue, George E",6,8,Perdue Family Wealth Preservation Trust owns FALF and 100% of the non-voting stock in Perdue Business Holdings Inc.
"Senate-confirmed/Perdue, George E",6,8.1,FALF LLC is a single member Limited Liability Company owned by Perdue Family Wealth Preservation Trust.  FALF LLC is a holding company for Soque River Conservation LLC.
"Senate-confirmed/Perdue, George E",6,8.1.1,Soque River Conservation LLC is owned by FALF LLC. Soque River Conservation LLC is a passive landholding partnership on the Soque River in Georgia.
"Senate-confirmed/Perdue, George E",6,8.2,"Perdue Business Holdings Inc. is owned by the Perdue Family Wealth Preservation Trust and the Perdue Family Revocable Trust.  Underlying assets of Perdue Business Holdings are shown in Lines 8.2 through 8.2.8, and the value shown for the underlying assets is the full value for each holding."
"Senate-confirmed/Perdue, George E",6,8.2.1,Legacy 13:22 LLC is a single member LLC owned by Perdue Business Holdings Inc.  Legacy 13:22 is a holding company for TW Rocky Mount Real Estate LLC and TWAS Rocky Mount LLC.
"Senate-confirmed/Perdue, George E",6,8.2.1.1,"TW Rocky Mount Real Estate LLC is majority owned by Legacy 13:22 LLC.  TW Rocky Mount Real Estate LLC owns the real estate in Rocky Mount, North Carolina, upon which the car wash owned by TWAS Rocky Mount LLC is being constructed."
"Senate-confirmed/Perdue, George E",6,8.2.1.2,TWAS Rocky Mount LLC is majority owned by Legacy 13:22 LLC.  TWAS Rocky Mount LLC is an operating business that owns a car wash that is currently under construction.
"Senate-confirmed/Perdue, George E",6,8.2.2,Perdue Partners LLC is 25% owned by Perdue Business Holdings Inc.  This consulting company is dormant.
"Senate-confirmed/Perdue, George E",6,8.2.2.1,Perdue Consulting Group LLC is owned by Perdue Partners LLC. This business consulting company is not currently operating and has no current clients.
"Senate-confirmed/Perdue, George E",6,8.2.2.2,Benton Global LLC is owned by Perdue Partners LLC. This is a trucking company that is not currently operating.
"Senate-confirmed/Perdue, George E",6,8.2.2.3,Benton Logistics LLC is owned by Perdue Partners LLC. This is a logistics company that is not currently operating.
"Senate-confirmed/Perdue, George E",6,8.2.4,AGrowStar LLC is a Qualified Subchapter S Subsidiary owned by Perdue Business Holdings Inc. AGrowStar LLC is a grain merchandising company.
"Senate-confirmed/Perdue, George E",6,8.2.5,Perdue Inc. is a Qualified Subchapter S Subsidiary owned by Perdue Business Holdings Inc. Perdue Inc is a trucking company.
"Senate-confirmed/Perdue, George E",6,8.2.6,"Houston Fertilizer and Grain Co., Inc. is a Qualified Subchapter S Subsidiary owned by Perdue Business Holdings Inc. Houston Fertilizer and Grain Co, Inc. does not engage in agribusiness, it simply holds, manages and rents commercial real estate in Bonaire, Fort Valley, and Calhoun, Georgia."
"Senate-confirmed/Perdue, George E",6,8.2.7,ProAg Products LLC is a single member Limited Liability Company owned by Perdue Business Holdings Inc. ProAg Products is a grain market trading business.
"Senate-confirmed/Perdue, George E",6,8.2.8,StarPort Logistics LLC is a single member Limited Liability Company owned by Perdue Business Holdings Inc. StarPort Logistics LLC is an operating logistics company.
"Senate-confirmed/Perdue, George E",6,9,Perdue Family Revocable Management Trust owns Perdue Management Holding LLC and 100% of voting stock of Perdue Business Holdings Inc.
"Senate-confirmed/Perdue, George E",6,9.1,Perdue Management Holdings LLC is 100% owned by the Perdue Family Revocable Management Trust. Perdue Management Holdings LLC is a holding company that is dormant and has no assets or holdings.
"Senate-confirmed/Perdue, George E",6,9.2,Underlying assets of Perdue Business Holdings is shown in Lines 8.2 through 8.2.8.
"Senate-confirmed/Perry, James Richard",2,2,Irrevocable donation of all royalties to charitable organization.
"Senate-confirmed/Perry, James Richard",2,3,Irrevocable donation of all royalties to charitable organization.
"Senate-confirmed/Perry, James Richard",2,8.14,Speech at the American Legislative Exchange Council
"Senate-confirmed/Puzder, Andrew F",2,3,"Underlying holding is CKE Restaurants Holdings, Inc., which owns, operates, and franchises quick- service restaurants."
"Senate-confirmed/Puzder, Andrew F",6,1.27,Distribution income is estimated from 2015.
"Senate-confirmed/Puzder, Andrew F",6,1.28,Distribution income is estimated from 2015.
"Senate-confirmed/Puzder, Andrew F",6,1.29,Distribution income is estimated from 2015.
"Senate-confirmed/Puzder, Andrew F",6,1.3,Distribution income is estimated from 2015.
"Senate-confirmed/Puzder, Andrew F",6,1.31,Distribution income is estimated from 2015.
"Senate-confirmed/Puzder, Andrew F",6,1.32,Investment placed in mid-2016. Reported distribution income is estimate.
"Senate-confirmed/Puzder, Andrew F",6,9,Underlying assets are not disclosed due to a preexisting confidentiality agreement.  I will divest this asset if confirmed.
"Senate-confirmed/Puzder, Andrew F",6,10,Underlying assets are not disclosed due to a preexisting confidentiality agreement.  I will divest this asset if confirmed.
"Senate-confirmed/Puzder, Andrew F",6,15,Underlying assets are not disclosed due to a preexisting confidentiality agreement.  I will divest this asset if confirmed.
"Senate-confirmed/Puzder, Andrew F",6,16,Underlying assets are not disclosed due to a preexisting confidentiality agreement.  I will divest this asset if confirmed.
"Senate-confirmed/Puzder, Andrew F",6,17,Underlying assets are not disclosed due to a preexisting confidentiality agreement.  I will divest this asset if confirmed.
"Senate-confirmed/Puzder, Andrew F",6,18,Underlying assets are not disclosed due to a preexisting confidentiality agreement.  I will divest this asset if confirmed.
"Senate-confirmed/Puzder, Andrew F",6,22,"The underlying holdings of the trust are: U.S. bank account (cash) and residential real estate, Ojai, California."
"Senate-confirmed/Puzder, Andrew F",8,5,This capital call represents a contingent liability; it will become due only if the fund manager triggers the call. I have no capital calls that are currently outstanding and am not aware of any capital calls that will be triggered in the foreseeable future. My obligation to satisfy this capital call will terminate when I divest my interest in this fund pursuant to my ethics agreement.
"Senate-confirmed/Puzder, Andrew F",8,6,This capital call represents a contingent liability; it will become due only if the fund manager triggers the call. I have no capital calls that are currently outstanding and am not aware of any capital calls that will be triggered in the foreseeable future. My obligation to satisfy this capital call will terminate when I divest my interest in this fund pursuant to my ethics agreement.
"Senate-confirmed/Puzder, Andrew F",8,7,This capital call represents a contingent liability; it will become due only if the fund manager triggers the call. I have no capital calls that are currently outstanding and am not aware of any capital calls that will be triggered in the foreseeable future. My obligation to satisfy this capital call will terminate when I divest my interest in this fund pursuant to my ethics agreement.
"Senate-confirmed/Puzder, Andrew F",8,8,This capital call represents a contingent liability; it will become due only if the fund manager triggers the call. I have no capital calls that are currently outstanding and am not aware of any capital calls that will be triggered in the foreseeable future. My obligation to satisfy this capital call will terminate when I divest my interest in this fund pursuant to my ethics agreement.
"Senate-confirmed/Puzder, Andrew F",8,9,This capital call represents a contingent liability; it will become due only if the fund manager triggers the call. I have no capital calls that are currently outstanding and am not aware of any capital calls that will be triggered in the foreseeable future. My obligation to satisfy this capital call will terminate when I divest my interest in this fund pursuant to my ethics agreement.
"Senate-confirmed/Puzder, Andrew F",8,10,This capital call represents a contingent liability; it will become due only if the fund manager triggers the call. I have no capital calls that are currently outstanding and am not aware of any capital calls that will be triggered in the foreseeable future. My obligation to satisfy this capital call will terminate when I divest my interest in this fund pursuant to my ethics agreement.
"Senate-confirmed/Rosen, Jeffrey A",1,1,"I will not receive any additional compensation, including partnership share, from Kirkland & Ellis. I have already received a return of capital."
"Senate-confirmed/Rosen, Jeffrey A",1,2,Filer's term ends 8/2017.
"Senate-confirmed/Rosen, Jeffrey A",2,1,"This number represents the filer's entire cash compensation as a partner during the reporting period, consisting of partnership monthly draws, prior year profit distributions, receipts from contingent fees or other matters involving time worked in past years, and the return of filer's capital account."
Senate-confirmed/Ross Wilbur L,1,1,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,2,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,3,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,15,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,16,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,17,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,28,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,29,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,31,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,34,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,35,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,36,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,37,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,41,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,43,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,44,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,46,The listed start date and end date are approximate and are based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,48,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,49,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,50,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,60,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,61,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,63,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,1,64,The listed start date is approximate and is based on a good-faith estimate.
Senate-confirmed/Ross Wilbur L,2,1.3,Filer will cash out of this plan prior to taking office.
Senate-confirmed/Ross Wilbur L,2,1.5,"Pursuant to written Invesco policy and procedures, and subject to a cap based on his existing holdings, upon Mr. Ross’ termination of employment, Invesco Ltd.’s Compensation Committee may determine to award him outstanding equity compensation that he would have otherwise received had he remained employed with WL Ross & Co. LLC with respect to previously issued shares of restricted stock that remain subject to restrictions under the applicable Invesco Ltd. plan."
Senate-confirmed/Ross Wilbur L,2,9,"Value and income are fully attributable to interests in W.L. Ross Group, L.P."
Senate-confirmed/Ross Wilbur L,2,9.1,"The assets of WL Ross Group, L.P. are listed in item 10."
Senate-confirmed/Ross Wilbur L,2,10,The value and income are fully attributable at lower tiers.
Senate-confirmed/Ross Wilbur L,2,10.1,"The value represents the capital account, and includes no carried interest."
Senate-confirmed/Ross Wilbur L,2,10.1.1,"This represents WLR Recovery Associates IV LLC's carried interest in WLR Recovery Fund IV, L.P."
Senate-confirmed/Ross Wilbur L,2,10.1.8.1.1,No underlying assets remain.
Senate-confirmed/Ross Wilbur L,2,10.1.9.1,Underlying assets previously disclosed at line 10.1.8
Senate-confirmed/Ross Wilbur L,2,10.1.11.1,Underlying assets previously disclosed at line 10.1.10.1.
Senate-confirmed/Ross Wilbur L,2,10.1.12,Underlying assets previously disclosed at line 10.1.10.1.
Senate-confirmed/Ross Wilbur L,2,10.2,The value represents the capital account balance.
Senate-confirmed/Ross Wilbur L,2,10.2.2,Represents the carried interest held by WLR Mezzanine Associates LLC in WLR Cardinal Mezzanine Fund L.P.  The current carried interest is zero.
Senate-confirmed/Ross Wilbur L,2,10.3,This entity contains no operating companies. It holds only cash.
Senate-confirmed/Ross Wilbur L,2,10.3.1.1,This entity no longer holds any underlying assets.
Senate-confirmed/Ross Wilbur L,2,10.3.2,This entity no longer holds any underlying assets.
Senate-confirmed/Ross Wilbur L,2,10.4,This entity no longer has any underlying assets.
Senate-confirmed/Ross Wilbur L,2,10.6,Value reflects capital account balance.
Senate-confirmed/Ross Wilbur L,2,10.6.1.2.1.1.1,This entity owns subsidiaries which each own individual transoceanic tanker ships. There are 25 individual LLCs that own the ships: NCM Holding I LLC; NCM Holding II LLC; WLR/TRF KZ Holding I LLC; WLR/TRF KZ Holding II LLC; WLR/TRF KZ Holding III LLC; WLR/TRF Holding III LLC; WLR/TRF Maemi LLC; NT Suez Holdco LLC; NT Suez GP LLC; NT Suez One LLC; NT Suez Two LLC; WLR/TRF Tanker Two LLC; WLR/TRF HMN8 Holdings I LLC; WLR/TRF HMN8 Holdings II LLC; WLR/TRF HMN8 Holdings III LLC; WLR/TRF HMN8 Holdings IV LLC; WLR/TRF HMN8 Holdings V LLC; WLR/TRF HMN8 Holdings VI LLC; TRF/Solus JV LLC; TRF/Solus GP LLC; HAN VLCC 1 LLC; HAN VLCC II LLC; SWS VLCC JV LLC; SWS VLCC GPLLC; SWS VLCC LLC.
Senate-confirmed/Ross Wilbur L,2,10.6.1.2.2,Underlying assets shown at 10.6.1.2.1.1
Senate-confirmed/Ross Wilbur L,2,10.6.1.2.3.1.1,This entity owns Norwegian subsidiaries which each own individual transoceanic tanker ships. There are 7 individual entities: Awilco Eco Tankers 1 AS; Awilco Eco Tankers 2 AS; Awilco Eco Tankers 3 AS; Awilco Eco Tankers 4 AS; Hassel Shipping 4 AS; Songa Chemical AS; Atlantic Supramax DIS.
Senate-confirmed/Ross Wilbur L,2,10.6.1.2.4,Assets previously disclosed at 10.6.1.2.3.1.
Senate-confirmed/Ross Wilbur L,2,10.6.4,Represents carried interest held in underlying funds.
Senate-confirmed/Ross Wilbur L,2,10.7,Value represents capital account.
Senate-confirmed/Ross Wilbur L,2,10.7.4.1.1.1.1,Underlying assets previously disclosed at 10.2.1.1.1.
Senate-confirmed/Ross Wilbur L,2,10.7.4.1.1.2,Underlying assets previously disclosed at 10.2.1.1.1.
Senate-confirmed/Ross Wilbur L,2,10.7.5.1,Underlying assets previously disclosed at 10.7.4.1.1.
Senate-confirmed/Ross Wilbur L,2,10.7.6,"Represents the carried interest held by WLR Recovery Associates V LLC in WLR Recovery Fund V, L.P. The carried interest is currently zero."
Senate-confirmed/Ross Wilbur L,2,10.7.7,Represents the carried interest held by WLR Recovery Associates V LLC in this fund.  The carried interest is currently zero.
Senate-confirmed/Ross Wilbur L,2,10.7.8,Represents the carried interest held by WLR Recovery Associates V LLC in this fund.  The carried interest is currently zero.
