file,#,source-name,city-state,brief-description-of-duties
"White House/Catanzaro, Michael J",4,Aetna,"Hartford, Connecticut",Partner compensation.
"White House/Catanzaro, Michael J",5,Amaya,"Montreal, Outside U.S.",Partner compensation
"White House/Catanzaro, Michael J",6,America's Natural Gas Association,"Washington, District of Columbia",Consulting/lobbying
"White House/Catanzaro, Michael J",7,Business Software Alliance,"Washington, District of Columbia",Partner compensation
"White House/Catanzaro, Michael J",8,Devon,"Oklahoma City, Oklahoma",Consulting/Lobbying
"White House/Catanzaro, Michael J",9,FTI Consulting,"Washington, District of Columbia",Consulting
"White House/Catanzaro, Michael J",10,Herbalife,"Los Angeles, California",Partner compensation
"White House/Catanzaro, Michael J",11,Intersections,"Chantilly, Virginia",Partner compensation
"White House/Catanzaro, Michael J",12,Koch Industries,"Witchita, Kansas",Consulting/Lobbying
"White House/Catanzaro, Michael J",13,Mortgage Bankers Association,"Washington, District of Columbia",Parnter compensation
"White House/Catanzaro, Michael J",14,Noble Energy,"Houston, Texas",Consulting/Lobbying
"White House/Catanzaro, Michael J",15,PPL Energy,"Allentown, Pennsylvania",Consulting/Lobbying
"White House/Catanzaro, Michael J",16,Small Business Entrepreneurship Council,"Vienna, Virginia",Consulting
"White House/Catanzaro, Michael J",17,Talen Energy,"Allentown, Pennsylvania",Consulting/Lobbying
"White House/Catanzaro, Michael J",18,National Association of Manufacturers,"Washington, District of Columbia",Consulting
"White House/Catanzaro, Michael J",19,NextEra Energy,"Juno Beach, Florida",Consulting
"White House/Catanzaro, Michael J",20,CGCN Group,"Washington, District of Columbia",Partner payout
"White House/Cheung, Steven N ",1,Ultimate Fightinig Championship,"Las Vegas, Nevada",Director of Communications and Public Affairs at UFC.
"White House/Cheung, Steven N ",2,Donald J.Trump for President,"New York City, New York",Director of Rapid Response
"White House/Cheung, Steven N ",3,Trump for America Inc.,"Washington, District of Columbia",Director of Rapid Response/Communications
"White House/Clark, Justin",1,"Donald J. Trump for President, Inc.","New York, New York",Political campaign
"White House/Clark, Justin",2,"Chris Christie for President, Inc.","Morristown, New Jersey",Political campaign
"White House/Clark, Justin",3,"Davis, Clark & Bonafonte LLC","Glastonbury, Connecticut",Legal Services
"White House/Clark, Justin",4,State of Connecticut,"Hartford, Connecticut",Legal Services
"White House/Clark, Justin",5,Northern Bank & Trust,"Woburn, Massachusetts","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",6,Matt Bevin for Governor,"Louisville, Kentucky","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",7,Brian Pilch,"Long Grove, Illinois","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",8,Estate of Eric John Swanson,"Buda, Texas","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",9,Pennsylvania Higher Education Assistance Agency,"Harrisburg, Pennsylvania","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",10,August Wolf for Senate,"Stamford, Connecticut","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",11,"Total Petrochemnicals & Refining USA, Inc.","Houston, Texas","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",12,Judy Brusby,"West Hartford, Connecticut","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",13,Robert Waldron,"Pinehurst, North Carolina","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",14,Holzman Vogel Josefiak PLLC,"Warrenton, Virginia","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",15,Integrity Relief LLC,"Hallandale Beach, Florida","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Clark, Justin",16,The Village at Liberty Square,"Hebron, Connecticut","Legal Services (client of Davis, Clark & Bonafonte LLC)"
"White House/Cohn, Gary",1,"The Goldman Sachs Group, Inc.","New York, New York","President & Chief Operating Officer at this global investment bank, through 12/31/2016."
"White House/Conway, Kellyanne",1,the polling company/WomanTrend,"Washington, District of Columbia",President and CEO
"White House/Conway, Kellyanne",2,American Conservation Union,"Alexandria, Virginia",Consulting Services
"White House/Conway, Kellyanne",3,American Principles Project,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",4,Americans for Prosperity Foundation,"Arlington, Virginia",Consulting Services
"White House/Conway, Kellyanne",5,Arlington County Public Schools,"Arlington, Virginia",Consulting Services
"White House/Conway, Kellyanne",6,Bio Springer North America,"Milwaukee, Wisconsin",Consulting Services
"White House/Conway, Kellyanne",7,Catholic University of America,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",8,Center for Medical Progress,"Irvine, California",Consulting Services
"White House/Conway, Kellyanne",9,Consumer Healthcare Products Association,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",10,Citizens United,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",11,Citizens United Political Victory Fund,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",12,Donald J. Trump for President,"New York, New York",Consulting Services
"White House/Conway, Kellyanne",13,Eric Holcomb,"Indianapolis, Indiana",Consulting Services
"White House/Conway, Kellyanne",14,Fieldstead & Co,"Irvine, California",Consulting Services
"White House/Conway, Kellyanne",15,Fleming for Louisiana,"Minden, Louisiana",Consulting Services
"White House/Conway, Kellyanne",16,FreedomWorks for America,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",17,GOP Convention Committee on Arrangements,"Colombus, Ohio",Consulting Services
"White House/Conway, Kellyanne",18,Independent Women's Voice,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",19,Indiana Energy Association,"Indianapolis, Indiana",Speaking Engagement
"White House/Conway, Kellyanne",20,"Jobvite, Inc.","Burlingame, California",Consulting Services
"White House/Conway, Kellyanne",21,Judicial Crisis Network,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",22,Kansas for Huelskamp,"Fowler, Kansas",Consulting Services
"White House/Conway, Kellyanne",23,"Keep the Promise, Inc.","Austin, Texas",Consulting Services
"White House/Conway, Kellyanne",24,King for Congress,"Wall Lake, Iowa",Consulting Services
"White House/Conway, Kellyanne",25,KTP PAC,"Austin, Texas",Consulting Services
"White House/Conway, Kellyanne",26,Laffer Associates,"Nashville, Tennessee",Speaking Engagement
"White House/Conway, Kellyanne",27,Market Council,"Englewood, New Jersey",Speaking Engagement
"White House/Conway, Kellyanne",28,Mike Pence for Indiana,"Anderson, Indiana",Consulting Services
"White House/Conway, Kellyanne",29,NOIA,"Washington, District of Columbia",Speaking Engagement
"White House/Conway, Kellyanne",30,National Republican Congressional Committee,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",31,Rod Blum for Congress,"Dubuque, Iowa",Consulting Services
"White House/Conway, Kellyanne",32,Students for Life of America,"Spotsylvania, Virginia",Consulting Services
"White House/Conway, Kellyanne",33,Tea Party Patriots,"Woodstock, Georgia",Consulting Services
"White House/Conway, Kellyanne",34,Trusted Leadership PAC,"Austin, Texas",Consulting Services
"White House/Conway, Kellyanne",35,Women's Conference for Florida,"Tampa, Florida",Consulting Services
"White House/Conway, Kellyanne",36,"Trump for America, Inc.","Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",37,Point 72 Asset Managment,"Stamford, Connecticut",Speaking Engagement
"White House/Conway, Kellyanne",38,Susan B Anthony List,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",39,Concerned Women for America,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",40,American Road & Transportation,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",41,"527 Committee, The Presidential Coalition","Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",42,Alabama Policy Institute,"Birmingham, Alabama",Speaking Engagement
"White House/Conway, Kellyanne",43,American Asso the Advancement of Science,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",44,Americans for Prosperity - Michigan,"Lansing, Michigan",Consulting Services
"White House/Conway, Kellyanne",45,Americans for Prosperity - Ohio,"Colombus, Ohio",Consulting Services
"White House/Conway, Kellyanne",46,"Cambridge Analytica, LLC","New York, New York",Consulting Services
"White House/Conway, Kellyanne",47,Center for Medical Progress,"Irvine, California",Consulting Services
"White House/Conway, Kellyanne",48,Center for Security Policy,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",49,CRC Public Relations,"Alexandria, Virginia",Consulting Services
"White House/Conway, Kellyanne",50,Duane Morris,"Trenton, New Jersey",Consulting Services
"White House/Conway, Kellyanne",51,Ending Spending,"Alexandria, Virginia",Consulting Services
"White House/Conway, Kellyanne",52,Freedom Partners,"Arlington, Virginia",Consulting Services
"White House/Conway, Kellyanne",53,Gary Palmer for Congress,"Homewood, Alabama",Consulting Services
"White House/Conway, Kellyanne",54,"Hellerman Baretz Communications, LLC","New York, New York",Consulting Services
"White House/Conway, Kellyanne",55,Highfive,"Redwood City, California",Consulting Services
"White House/Conway, Kellyanne",56,Indeed,"Austin, Texas",Consulting Services
"White House/Conway, Kellyanne",57,Innovative Advertising,"Mandeville, Louisiana",Consulting Services
"White House/Conway, Kellyanne",58,John Locke Foundation,"Raleigh, North Carolina",Speaking Engagement
"White House/Conway, Kellyanne",59,Judicial Education Project,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",60,Michigan Prosperity Project,"Lansing, Michigan",Consulting Services
"White House/Conway, Kellyanne",61,National Multifamily,"Washington, District of Columbia",Speaking Engagement
"White House/Conway, Kellyanne",62,National Republican Senatorial Committee,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",63,National Rifle Association,"Fairfax, Virginia",Consulting Services
"White House/Conway, Kellyanne",64,National Right to Life Committee,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",65,National Women State Legislators,"Alexandria, Virginia",Speaking Engagement
"White House/Conway, Kellyanne",66,National Federation of Republican Women,"Alexandria, Virginia",Consulting Services and Speaking Engagement
"White House/Conway, Kellyanne",67,NUSA,"Arlington, Virginia",Consulting Services
"White House/Conway, Kellyanne",68,Open Primaries,"New York, New York",Consulting Services
"White House/Conway, Kellyanne",69,Reclaim NY,"New York, New York",Consulting Services
"White House/Conway, Kellyanne",70,Republican Governor's Association,"Washington, District of Columbia",Consulting Services
"White House/Conway, Kellyanne",71,The 2016 Committee,"Vienna, Virginia",Consulting Services
"White House/Conway, Kellyanne",72,The Catholic League,"New York, New York",Consulting Services
"White House/Conway, Kellyanne",73,The Olson Group,"Alexandria, Virginia",Consulting Services
"White House/Conway, Kellyanne",74,Young Americans Foundation,"Herndon, Virginia",Consulting Services
"White House/Conway, Kellyanne",75,Zeldin for Congress,"Shirley, New York",Consulting Services
"White House/Cordish, Reed",1,CTR Management Inc.,"Baltimore, Maryland",Vice President for management company managing real estate assets of the Cordish Companies
"White House/Cordish, Reed",2,Entertainment Consulting International LLC,"Baltimore, Maryland",Chairman of restaurant management company
"White House/Cordish, Reed",3,PPE Casino Resorts Maryland Developer LLC,"Baltimore, Maryland","Officer of owner of hotel, entertainment and gaming facility"
"White House/DeStefano, John",1,"DT Client Services, LLC","Washington, District of Columbia",President & CEO
"White House/Dearborn, Rick",1,"Donald J. Trump for President, Inc.","NYC, New York","after hours, weekend and vacation days used to support the campaign in the Trump Alexandria, VA office"
"White House/Delrahim, Makan",1,Brownstein Hyatt Farber Schreck,"Los Angeles, California",Partner in Law Firm
"White House/Delrahim, Makan",2,Qualcomm,"San Diego, California",Legal Services
"White House/Delrahim, Makan",3,Ares Investment,"Los Angeles, California",Legal Services
"White House/Delrahim, Makan",4,Baxter Healthcare,"Chicago, Illinois",Legal Services
"White House/Delrahim, Makan",5,Anthem,"Indianapolis, Indiana",Legal Services
"White House/Delrahim, Makan",6,Papersource Manufacturing & Converting,"Los Angeles, California",Legal Services
"White House/Delrahim, Makan",7,Complete Control Management,"Los Angeles, California",Legal Services
"White House/Delrahim, Makan",8,Ultimate Fighting Championship,"Las Vegas, Nevada",Legal Services
"White House/Delrahim, Makan",9,Ardent Healthcare,"Nashville, Tennessee",Legal Services
"White House/Delrahim, Makan",10,Medical Device Manufacturers Association,"Washington, District of Columbia",Legal Services
"White House/Delrahim, Makan",11,Brentwood School,"Los Angeles, California",Legal Services
"White House/Delrahim, Makan",12,"Flexjet, LLC","Richmond Heights, Ohio",Legal Services
"White House/Delrahim, Makan",13,Mentor Network,"Boston, Massachusetts",Legal Services
"White House/Delrahim, Makan",14,Jacob Khobian,"Los Angeles, California",Legal Services
"White House/Delrahim, Makan",15,Caesar's Interactive,"Las Vegas, Nevada",Legal Services
"White House/Dhillon, Uttam",1,Fitzpatrick Hagood Smith & Uhl LLP,"Dallas, Texas",2015 payment for legal services rendered prior to the commencement of government service.
White House/Diaz-Rosillo Carlos,1,"Trump for America, Inc. (Presidential Transition)","Washington, District of Columbia",Advisor
White House/Diaz-Rosillo Carlos,2,Harvard University,"Cambridge, Massachusetts",Lecturer and Assistant Dean
White House/Diaz-Rosillo Carlos,3,Belen Jesuit Preparatory School,"Miami, Florida",Assistant Summer Camp Director
"White House/Ditto, Jessica",1,Office of the Governor,"Frankfort, Kentucky",Communications Director
"White House/Ditto, Jessica",2,Connected Nation,"Bowling Green, Kentucky",Communications Director and Director of Education Program Operations
"White House/Ditto, Jessica",3,"Matt Bevin for Kentucky, Inc.","Louisville, Kentucky",Communications Director
"White House/Ditto, Jessica",4,"Donald J. Trump for President, Inc.","New York, New York",Deputy Communications Director
"White House/Ditto, Jessica",5,"Trump for America, Inc.","Washington, District of Columbia",Deputy Communications Director
"White House/Donaldson, Ann",1,Jones Day,"Washington, District of Columbia",Legal Services provided as an associate of Jones Day.  The below listed entities are clients of Jones Day where I personally provided services in the reportable amount.
"White House/Donaldson, Ann",2,America Ascendant,"Alexandria, Virginia",Legal Services
"White House/Donaldson, Ann",3,America Leads,"Washington, District of Columbia",Legal Services
"White House/Donaldson, Ann",4,AR2,"Arlington, Virginia",Legal Services
"White House/Donaldson, Ann",5,America Rising LLC,"Arlington, Virginia",Legal Services
"White House/Donaldson, Ann",6,America Rising PAC,"Arlington, Virginia",Legal Services
"White House/Donaldson, Ann",7,Americans for Economic Freedom,"Austin, Texas",Legal Services
"White House/Donaldson, Ann",8,Bogart Associates,"Alexandria, Virginia",Legal Services
"White House/Donaldson, Ann",9,Cabell Huntington,"Huntington, West Virginia",Legal Services
"White House/Donaldson, Ann",10,Center for American Opportunity,"Washington, District of Columbia",Legal Services
"White House/Donaldson, Ann",11,Definers Corp,"Arlington, Virginia",Legal Services
"White House/Donaldson, Ann",12,"Donald J. Trump for President, Inc.","New York, New York",Legal Services
"White House/Donaldson, Ann",13,ESAFund,"Alexandria, Virginia",Legal Services
"White House/Donaldson, Ann",14,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Legal Services
"White House/Donaldson, Ann",15,FreedomWorks for America,"Washington, District of Columbia",Legal Services
"White House/Donaldson, Ann",16,Friends of Todd Young,"Bloomington, Indiana",Legal Services
"White House/Donaldson, Ann",17,i360,"Arlington, Virginia",Legal Services
"White House/Donaldson, Ann",18,Katcho for Congress,"Arroyo Grande, California",Legal Services
"White House/Donaldson, Ann",19,Kirk for Senate,"Winnetka, Illinois",Legal Services
"White House/Donaldson, Ann",20,Congressman Leonard Lance,"Westfield, New Jersey",Legal Services
"White House/Donaldson, Ann",21,Leadership Matters for America PAC,"Colonia, New Jersey",Legal Services
"White House/Donaldson, Ann",22,National Republican Congressional Committee,"Washington, District of Columbia",Legal Services
"White House/Donaldson, Ann",23,New York Republican State Committee,"Albany, New York",Legal Services
"White House/Donaldson, Ann",24,Noelle Nikpour for Congress,"Beverly, Massachusetts",Legal Services
"White House/Donaldson, Ann",25,Oklahoma Leadership Council,"Oklahoma City, Oklahoma",Legal Services
"White House/Donaldson, Ann",26,Our American Revival,"Middleton, Wisconsin",Legal Services
"White House/Donaldson, Ann",27,Red Curve Solutions,"Beverly, Massachusetts",Legal Services
"White House/Donaldson, Ann",28,Redwave Communications,"Des Moines, Iowa",Legal Services
"White House/Donaldson, Ann",29,Republican National Committee,"Washington, District of Columbia",Legal Services
"White House/Donaldson, Ann",30,NRSC,"Washington, District of Columbia",Legal Services
"White House/Donaldson, Ann",31,"Romney for President, Inc.","Beverly, Massachusetts",Legal Services
"White House/Donaldson, Ann",32,Ron Johnson for Senate,"Oshkosh, Wisconsin",Legal Services
"White House/Donaldson, Ann",33,Rooney for Congress,"Naples, Florida",Legal Services
"White House/Donaldson, Ann",34,Congressman Aaron Schock,"Peoria, Illinois",Legal Services
"White House/Donaldson, Ann",35,Trump Make America Great Again Committee,"New York, New York",Legal Services
"White House/Donaldson, Ann",36,Trump Victory,"New York, New York",Legal Services
"White House/Doocey, Sean E",1,"Barbaricum, LLC","Washington, District of Columbia",HR Director
"White House/Doocey, Sean E",2,Trump For America Inc,"Washington, District of Columbia",Worked with the Presidential appointments team to identify and vet candidates for possible appointment by the President-elect.
"White House/Eisenberg, John",1,Kirkland & Ellis LLP,"Washington, District of Columbia",I am an attorney at Kirkland.
"White House/Eisenberg, John",2,Syngenta Corp,"Greensboro, North Carolina","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",3,Arlon Group LLC,"New York, New York","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",4,"Akorn, Inc.","Lake Forest, Illinois","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",5,Commonwealth of Puerto Rico,"San Juan, Puerto Rico","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",6,Samson Resources Corportation,"Tulsa, Oklahoma","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",7,Abbott Laboratories,"Abbott Park, Illinois","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",8,Sitel Worldwide Corporation,"Nashville, Tennessee","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",9,"Trustwave Holdings, Inc.","Chicago, Illinois","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",10,BP America,"Houston, Texas","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",11,Ethoca,"Tornonto, Outside U.S.","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",12,GM,"Detroit, Michigan","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",13,EMSI Holding Company,"Waco, Texas","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",14,Circles Technologies Ltd.,"London, Outside U.S.","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",15,"Vestar Capital Partners, Inc.","New York, New York","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",16,Citadel LLC,"Chicago, Illinois","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",17,Gryphon Investors,"SAn Francisco, California","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",18,The Boeing Company,"Chicago, Illinois","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Eisenberg, John",19,Honeywell International Inc.,"Moris Plains, New Jersey","Legal Services (client of Kirkland & Ellis, LLP)"
"White House/Epshteyn, Boris",1,Presidential Inaugural Committee,"Washington, District of Columbia",Director of Communications
"White House/Epshteyn, Boris",2,"Donald J. Trump for America, Inc.","New York, New York",Communications
"White House/Epshteyn, Boris",3,"TGP Securities, Inc.","New York, New York",Managing Director of Business and Legal Affairs
"White House/Epshteyn, Boris",4,Prime Health Services,"Brentwood, Tennessee",Board Member/Advisor
"White House/Epshteyn, Boris",5,"TGP Capital, LLC","New York, New York",Consultant
"White House/Epshteyn, Boris",6,Corsair Capital Management,"New York, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",7,Douglas Elliman,"Southampton, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",8,Gabrielle A. Haddad,"Point Pleasant Beach, New Jersey","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",9,GCA Capital Group LLC,"New York, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",10,Headlands Capital Advisors,"New York, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",11,Implicit Value LLC,"New York, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",12,Inspirit Group LLC,"Bedminster, New Jersey","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",13,Iornmonger Lane London,"London, Outside U.S.","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",14,Jeffrey Human,"Voorheesville, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",15,Kellen Projects,"Washington, District of Columbia","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",16,Laboratory Testing Services,"Fort Lauderdale, Florida","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",17,Marisol E. Page,"Weehaken, New Jersey","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",18,National Financial Services,"Jersey City, New Jersey","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",19,New Generation Advisors LLC,"Manchester, Massachusetts","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",20,Prism Solar Technologies,"Highland, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",21,Royce Joseph Capital LLC,"Morristown, New Jersey","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",22,Solaris Group LLC,"New York, New York","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",23,Stroud Family LLC,"Shreveport, Louisiana","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",24,The Royal Bank of Scotland,"Stamford, Connecticut","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",25,Vinhee Mehta,"Redondo Beach, California","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",26,White Square Capital,"London, Outside U.S.","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Epshteyn, Boris",27,William T. McKinzie,"Edwards, Colorado","Broker Dealer Compensation to TGP Securities, Inc."
"White House/Ferre, Helen",1,Republican National Committee,"Washington DC, District of Columbia",Director of Hispanic Communications
"White House/Ferre, Helen",2,HAF Media LLC,"Miami, Florida",Consulting and Communications Services
"White House/Ferre, Helen",3,Univision,"Doral, Florida",Radio Host
"White House/Ferre, Helen",4,The Miami Herald Media Company,"Doral, Florida",Weekly Columnist
"White House/Ferre, Helen",5,WPBT2 Channel 2,"North Miami Beach, Florida",Television Host--Client of HAF Media LLC
"White House/Ferre, Helen",6,Right to Rise PAC,"Miami, Florida",Advisor
"White House/Ferre, Helen",7,Jeb Bush Presidential Campaign,"Miami, Florida",Advisor
"White House/Flynn, Michael 2-11-17",1,Drone Aviation Holding Corp.,"Jacksonville, Florida",Board Member
"White House/Flynn, Michael 2-11-17",2,Palo Alto Networks Inc.,"Santa Clara, California",Advisory Council Member
"White House/Flynn, Michael 2-11-17",3,Flynn Intel Group LLC,"Alexandria, Virginia",Member
"White House/Flynn, Michael 2-11-17",4,Quaestor Federal Consulting LLC,"Springfield, Virginia",Employee and consultant
"White House/Flynn, Michael 2-11-17",5,Adobe Systems Inc.,"Palo Alto, California",Advisory Board Member
"White House/Flynn, Michael 2-11-17",6,OSY Technologies SARL,"Luxembourg, Outside U.S.",Advisory Board Member
"White House/Flynn, Michael 2-11-17",7,Flynn Intel Group Inc.,"Alexandria VA, Virginia",Chairman
"White House/Flynn, Michael 2-11-17",8,Babel Street Incorporated,"Reston, Virginia",Advisor
"White House/Flynn, Michael 2-11-17",9,Brainwave Sciences LLC,"Southborough, Massachusetts",Advisor
"White House/Flynn, Michael 2-11-17",10,Francisco Partners Management LP,"San Francisco, California",Consultant
"White House/Flynn, Michael 2-11-17",11,McChrystal Group LLC,"Alexandria, Virginia",Consultant
"White House/Flynn, Michael 2-11-17",12,NJK Holding Corporation,"Minneapolis, Minnesota",Consultant
"White House/Flynn, Michael 2-11-17",13,"Novetta, Inc.","McLean, Virginia",Consultant
"White House/Flynn, Michael 2-11-17",14,Pechter Polls LLC,"Princeton, New Jersey",Consultant
"White House/Flynn, Michael 2-11-17",15,The Ulysses Group LLC,"Charleston, South Carolina",Advisor
"White House/Flynn, Michael 2-11-17",16,"I3 Integrative Creative Solutions, LLC","Springfield, Virginia",Consultant
"White House/Flynn, Michael 2-11-17",17,Anadarko Petroleum Co.,"Woodlands, Texas",Advisor
"White House/Flynn, Michael 2-11-17",18,BlackDuck Software Inc.,"Burlingame, Massachusetts",Consultant
"White House/Flynn, Michael 2-11-17",19,Center for a New American Security,"Washington, District of Columbia",Consultant
"White House/Flynn, Michael 2-11-17",20,Halifax Investment Management Inc.,"Washington, District of Columbia",Consultant
"White House/Flynn, Michael 2-11-17",21,Norton Rose Fulbright LLC,"Houston, Texas",Consultant
"White House/Flynn, Michael 2-11-17",22,Federal Bureau of Investigation,"Washington, District of Columbia",Consultant
"White House/Flynn, Michael 2-11-17",23,Museum Armor,"Old Bethpage, New York",Speaking engagement
"White House/Flynn, Michael 2-11-17",24,Youth of Americas Foundation,"Reston, Virginia",Speaking engagements
"White House/Flynn, Michael 2-11-17",25,Ibrahim Kurtulus,"New York, New York",Speaking engagement
"White House/Flynn, Michael 2-11-17",26,Creative Artists Agency,"Los Angeles, California",Speaking engagement
"White House/Flynn, Michael 2-11-17",27,Writer's Representatives,"New York, New York",Writer's fees
"White House/Flynn, Michael 2-11-17",28,MacMillan Publishing Company,"New York, New York",Royalties
"White House/Flynn, Michael 2-11-17",29,Leading Authorities LLC,"Washington, District of Columbia",Speaking fees
"White House/Flynn, Michael 2-11-17",30,INOVO BV,"Utrecht, Outside U.S.",Consultant
"White House/Ford, Stephen J",1,"In Pursuit Of, LLC","Arlington, Virginia",Editorial Director
"White House/Ford, Stephen J",2,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Director of Writing
"White House/Ford, Stephen J",3,John H. Schnatter,"Anchorage, Kentucky",Writer
"White House/Ford, Stephen J",4,Dr. Joseph Warren Institute,"Brentwood, California",Writer
"White House/Gigicos, George",1,"Donald J. Trump for President, Inc","New York, New York",Director of Advance
"White House/Goad, Robert T",1,"Trump for America, Inc.","Washington, District of Columbia",Lead the education policy team and developed the President-elect's education policy implementation agenda.
"White House/Goad, Robert T",2,"Donald J. Trump for President, Inc","New York, New York",Developed the education policy agenda for the campaign
"White House/Goldschmidt, Abe E",1,State Attorney's Office,"Miami-Dade, Florida",Assistant State Attorney (Prosecutor)
"White House/Goldschmidt, Abe E",2,Trump for America,"Washington, District of Columbia",Deputy Director of Presidential Appointments for Presidential Transition.
"White House/Gorka, Sebastian",1,Institute of World Politics,"Washington, District of Columbia",Responsible for National Security Business Development and teaching
"White House/Gorka, Sebastian",2,Marine Corps University Foundation,"Quantico, Virginia","Lecturer in Irregular Warfare and Counterterrorism, supporting the USMC"
"White House/Gorka, Sebastian",3,Breitbart News Network,"Los Angeles, California",Responsible for quality of National Security coverage
"White House/Gorka, Sebastian",4,Threat Knowledge Group,"McLean, Virginia",Directing training and research in National Security
"White House/Gorka, Sebastian",5,Regnery Publishing,"Washington, District of Columbia",Advance and Royalty payments as author from 2 books contracts.
"White House/Gray, Alexander",1,Donald J. Trump for President,"New York, New York",Senior Defense Advisor to Donald J. Trump for President
